poziom,udzial_poz_min,udzial_poz_max,udzial_poz_rozstep,rozmiar_min,rozmiar_max,rozmiar_rozstep_wzgl,udzial_ery_min,udzial_ery_max,pacjenci_wspolni,wariant,n_splits,shuffle,seed
rekordowy,0.042839657282741736,0.043308049914362615,0.00046839263162087863,4085,4087,0.0004894642813440689,0.9543891214676632,0.9576569767728464,0,bez_mieszanych,10,True,42.0
rekordowy,0.042839657282741736,0.043308049914362615,0.00046839263162087863,4085,4087,0.0004894642813440689,0.953486785446365,0.9578357872027848,0,bez_mieszanych,10,True,7.0
rekordowy,0.042839657282741736,0.043308049914362615,0.00046839263162087863,4085,4087,0.0004894642813440689,0.9537510666249364,0.9584351457738118,0,bez_mieszanych,10,True,13.0
rekordowy,0.042839657282741736,0.043308049914362615,0.00046839263162087863,4085,4087,0.0004894642813440689,0.9545502234224316,0.9583527333477012,0,bez_mieszanych,10,True,101.0
rekordowy,0.042839657282741736,0.043308049914362615,0.00046839263162087863,4085,4087,0.0004894642813440689,0.9541279507269231,0.9575793073003968,0,bez_mieszanych,10,True,2024.0
pacjentowy,0.04306337166625887,0.043073910915320604,1.0539249061733424e-05,4086,4087,0.00024473214067203446,0.9450452094541668,0.969383842621728,0,bez_mieszanych,10,False,
pacjentowy,0.04306337166625887,0.043073910915320604,1.0539249061733424e-05,4086,4087,0.00024473214067203446,0.9542334431690255,0.9588708707915915,0,bez_mieszanych,10,True,42.0
pacjentowy,0.04306337166625887,0.043073910915320604,1.0539249061733424e-05,4086,4087,0.00024473214067203446,0.9537904470791478,0.9582842571336659,0,bez_mieszanych,10,True,7.0
pacjentowy,0.04306337166625887,0.043073910915320604,1.0539249061733424e-05,4086,4087,0.00024473214067203446,0.953698386447932,0.9570943737174581,0,bez_mieszanych,10,True,13.0
pacjentowy,0.04306337166625887,0.043073910915320604,1.0539249061733424e-05,4086,4087,0.00024473214067203446,0.9543760904076616,0.9573061464716538,0,bez_mieszanych,10,True,101.0
pacjentowy,0.04306337166625887,0.043073910915320604,1.0539249061733424e-05,4086,4087,0.00024473214067203446,0.9535668565404248,0.9576396210542388,0,bez_mieszanych,10,True,2024.0
